name	occurrences	predicted	true	note
monitor_printf	77	IO_CALL	IO_CALL	writes to the monitor
close	60	IO_CALL	IO_CALL	
avio_printf	45	IO_CALL	IO_CALL	writes to an AVIO stream
cpu_fprintf	28	IO_CALL	IO_CALL	writes to a stream
write	23	IO_CALL	IO_CALL	
open	20	IO_CALL	IO_CALL	
read	17	IO_CALL	IO_CALL	
fclose	14	IO_CALL	IO_CALL	
fopen	13	IO_CALL	IO_CALL	
fwrite	9	IO_CALL	IO_CALL	
fgets	2	IO_CALL	IO_CALL	
pwrite	2	IO_CALL	IO_CALL	
send	5	IO_CALL	IO_CALL	
fread	5	IO_CALL	IO_CALL	
pread	2	IO_CALL	IO_CALL	
mon_printf	3	IO_CALL	IO_CALL	writes to the monitor
xen_be_printf	3	IO_CALL	IO_CALL	logging
PCIE_DEV_PRINTF	1	IO_CALL	IO_CALL	logging macro
sendto	1	IO_CALL	IO_CALL	
error_printf	4	IO_CALL	IO_CALL	writes to the error stream
av_malloc	120	MEMORY_ALLOC	MEMORY_ALLOC	
g_malloc	59	MEMORY_ALLOC	MEMORY_ALLOC	
qemu_malloc	17	MEMORY_ALLOC	MEMORY_ALLOC	
qemu_ram_alloc	17	MEMORY_ALLOC	MEMORY_ALLOC	
malloc	11	MEMORY_ALLOC	MEMORY_ALLOC	
alloca	11	MEMORY_ALLOC	MEMORY_ALLOC	
av_frame_alloc	10	MEMORY_ALLOC	MEMORY_ALLOC	
avcodec_alloc_frame	9	MEMORY_ALLOC	MEMORY_ALLOC	allocates a frame
av_fifo_alloc	8	MEMORY_ALLOC	MEMORY_ALLOC	
av_fast_malloc	6	MEMORY_ALLOC	MEMORY_ALLOC	
trace_xics_alloc_block	1	MEMORY_ALLOC	NONE	tracepoint, not an allocation
av_hwdevice_ctx_alloc	1	MEMORY_ALLOC	MEMORY_ALLOC	allocates a device context
calloc	2	MEMORY_ALLOC	MEMORY_ALLOC	
checkasm_malloc	1	MEMORY_ALLOC	MEMORY_ALLOC	
png_malloc	1	MEMORY_ALLOC	MEMORY_ALLOC	
ff_alloc_packet	2	MEMORY_ALLOC	MEMORY_ALLOC	allocates packet payload
alloc	1	MEMORY_ALLOC	MEMORY_ALLOC	generic allocator wrapper
bios_linker_loader_alloc	2	MEMORY_ALLOC	MEMORY_ALLOC	allocates a loader entry
qemu_chr_alloc	1	MEMORY_ALLOC	MEMORY_ALLOC	allocates a chardev
gencb_alloc	1	MEMORY_ALLOC	MEMORY_ALLOC	allocates a callback object
memcpy	337	MEMORY_COPY	MEMORY_COPY	
g_strdup	55	MEMORY_COPY	MEMORY_COPY	
memmove	22	MEMORY_COPY	MEMORY_COPY	
AV_COPY32	21	MEMORY_COPY	MEMORY_COPY	copies 32 bits between buffers
__msa_copy_u_w	20	MEMORY_COPY	NONE	SIMD lane extraction
g_strdup_printf	18	MEMORY_COPY	MEMORY_ALLOC	allocates and formats; alloc taken
__msa_copy_u_h	16	MEMORY_COPY	NONE	SIMD lane extraction
av_strdup	14	MEMORY_COPY	MEMORY_COPY	
copy_from_user_timeval	7	MEMORY_COPY	MEMORY_COPY	bounded copy across boundary
av_dict_copy	6	MEMORY_COPY	MEMORY_COPY	deep-copies a dictionary
memcpy_to_target	4	MEMORY_COPY	MEMORY_COPY	bounded copy to target memory
__msa_copy_s_w	2	MEMORY_COPY	NONE	SIMD lane extraction
COPY16TO8	2	MEMORY_COPY	NONE	pixel format conversion macro
init_thread_copy	2	MEMORY_COPY	NONE	initialises thread state; not a buffer copy
COPY16TO9_OR_10	4	MEMORY_COPY	NONE	pixel format conversion macro
COPY	2	MEMORY_COPY	NONE	context-dependent macro
avfilter_copy_frame_props	2	MEMORY_COPY	MEMORY_COPY	copies frame metadata
copy_chapters	2	MEMORY_COPY	NONE	copies chapter records, not raw memory
copy	2	MEMORY_COPY	NONE	ambiguous local helper
copy_bits	2	MEMORY_COPY	NONE	bit-level helper, no caller buffer
tcg_temp_free_i32	267	MEMORY_FREE	MEMORY_FREE	releases an IR temporary
av_freep	240	MEMORY_FREE	MEMORY_FREE	
g_free	222	MEMORY_FREE	MEMORY_FREE	
av_free	170	MEMORY_FREE	MEMORY_FREE	
tcg_temp_free_i64	169	MEMORY_FREE	MEMORY_FREE	releases an IR temporary
tcg_temp_free	82	MEMORY_FREE	MEMORY_FREE	releases an IR temporary, not heap
qemu_free	40	MEMORY_FREE	MEMORY_FREE	
free	37	MEMORY_FREE	MEMORY_FREE	
av_frame_free	30	MEMORY_FREE	MEMORY_FREE	frees a frame and its buffers
